 ,Mask_image,Object,Image,Date,Time,Obj_area,Obj_mean_temp,Obj_min_temp,Obj_max_temp,Obj_st_dev_temp
1,leaves,1,IR_8234,2019-12-09,16:13:39,680,41.057,39.021,44.281,0.813
2,leaves,1,IR_8236,2019-12-09,16:19:10,680,41.525,39.087,44.576,0.802
3,leaves,1,IR_8238,2019-12-09,16:24:40,680,41.097,38.779,44.599,0.910
4,leaves,1,IR_8240,2019-12-09,16:30:11,680,40.324,37.629,43.370,1.038
5,leaves,1,IR_8242,2019-12-09,16:35:41,680,41.257,38.227,44.517,0.928
6,leaves,1,IR_8244,2019-12-09,16:41:11,680,39.903,37.226,43.067,0.915
7,leaves,1,IR_8246,2019-12-09,16:46:42,680,38.983,36.522,41.980,0.868
8,leaves,1,IR_8248,2019-12-09,16:52:12,680,40.045,37.207,43.936,1.004
9,leaves,1,IR_8250,2019-12-09,16:57:43,680,40.332,37.524,43.594,0.928
10,leaves,1,IR_8252,2019-12-09,17:03:13,680,39.581,36.918,42.815,0.969
11,leaves,1,IR_8254,2019-12-09,17:08:43,680,40.568,37.955,44.186,0.859
12,leaves,1,IR_8256,2019-12-09,17:14:14,680,40.786,38.232,43.228,0.824
13,leaves,1,IR_8258,2019-12-09,17:19:44,680,40.550,37.864,43.356,0.871
14,leaves,1,IR_8260,2019-12-09,17:25:15,680,39.688,37.231,42.718,0.847
15,leaves,1,IR_8262,2019-12-09,17:30:45,680,40.678,38.494,43.040,0.744
16,leaves,1,IR_8264,2019-12-09,17:36:15,680,39.426,37.423,41.753,0.730
17,leaves,1,IR_8266,2019-12-09,17:41:46,680,39.881,37.716,42.539,0.832
18,leaves,1,IR_8268,2019-12-09,17:47:16,680,39.055,37.134,42.068,0.703
19,leaves,1,IR_8270,2019-12-09,17:52:47,680,38.809,36.749,42.077,0.736
20,leaves,1,IR_8272,2019-12-09,17:58:17,680,38.277,36.202,41.800,0.744
21,leaves,1,IR_8274,2019-12-09,18:03:48,680,37.855,35.867,40.036,0.730
22,leaves,1,IR_8276,2019-12-09,18:09:18,680,37.816,36.095,40.059,0.727
23,leaves,1,IR_8278,2019-12-09,18:14:48,680,37.844,35.983,40.430,0.828
24,leaves,1,IR_8280,2019-12-09,18:20:19,680,36.940,35.276,39.626,0.668
25,leaves,1,IR_8282,2019-12-09,18:25:49,680,36.921,35.281,39.711,0.761
26,leaves,1,IR_8284,2019-12-09,18:31:20,680,35.926,34.329,38.327,0.702
27,leaves,1,IR_8286,2019-12-09,18:36:50,680,36.223,34.939,38.065,0.576
28,leaves,1,IR_8288,2019-12-09,18:42:20,680,35.951,34.555,38.394,0.625
29,leaves,1,IR_8290,2019-12-09,18:47:51,680,35.631,34.422,37.917,0.569
30,leaves,1,IR_8292,2019-12-09,18:53:21,680,35.128,33.939,36.662,0.470
31,leaves,1,IR_8294,2019-12-09,18:58:52,680,34.420,33.344,35.867,0.503
32,leaves,1,IR_8296,2019-12-09,19:00:30,680,34.640,33.528,35.930,0.517
33,leaves,1,IR_8298,2019-12-09,19:02:09,680,34.862,33.845,36.046,0.472
34,leaves,1,IR_8300,2019-12-09,19:07:39,680,34.710,33.681,35.823,0.423
35,leaves,1,IR_8302,2019-12-09,19:13:10,680,34.332,33.339,35.565,0.422
36,leaves,1,IR_8304,2019-12-09,19:18:40,680,33.904,33.015,35.208,0.431
37,leaves,1,IR_8306,2019-12-09,19:24:11,680,33.579,32.741,34.781,0.386
38,leaves,1,IR_8308,2019-12-09,19:29:41,680,33.026,32.335,34.132,0.360
39,leaves,1,IR_8310,2019-12-09,19:35:11,680,32.914,32.119,34.067,0.388
40,leaves,1,IR_8312,2019-12-09,19:40:42,680,32.155,31.257,33.478,0.444
41,leaves,1,IR_8314,2019-12-09,19:46:12,680,31.901,31.191,33.244,0.389
42,leaves,1,IR_8316,2019-12-09,19:51:43,680,31.121,30.276,32.681,0.463
43,leaves,1,IR_8318,2019-12-09,19:57:13,680,30.909,30.087,32.395,0.453
44,leaves,1,IR_8320,2019-12-09,20:02:43,680,30.519,29.553,32.094,0.475
45,leaves,1,IR_8322,2019-12-09,20:08:14,680,30.383,29.497,31.994,0.447
46,leaves,1,IR_8324,2019-12-09,20:13:44,680,30.020,29.136,31.686,0.483
