 ,Image,Obj_emissivity,Obj_distance,Air_temp,Air_rel_hum,App_refl_temp,Camera_model
1,IR_8234,0.950,4,30.800,45,32,FLIR E40bx
2,IR_8236,0.950,4,30.800,45,32,FLIR E40bx
3,IR_8238,0.950,4,30.800,45,32,FLIR E40bx
4,IR_8240,0.950,4,30.800,45,32,FLIR E40bx
5,IR_8242,0.950,4,30.800,45,32,FLIR E40bx
6,IR_8244,0.950,4,30.800,45,32,FLIR E40bx
7,IR_8246,0.950,4,30.800,45,32,FLIR E40bx
8,IR_8248,0.950,4,30.800,45,32,FLIR E40bx
9,IR_8250,0.950,4,30.800,45,32,FLIR E40bx
10,IR_8252,0.950,4,30.800,45,32,FLIR E40bx
11,IR_8254,0.950,4,30.800,45,32,FLIR E40bx
12,IR_8256,0.950,4,30.800,45,32,FLIR E40bx
13,IR_8258,0.950,4,30.800,45,32,FLIR E40bx
14,IR_8260,0.950,4,30.800,45,32,FLIR E40bx
15,IR_8262,0.950,4,30.800,45,32,FLIR E40bx
16,IR_8264,0.950,4,30.800,45,32,FLIR E40bx
17,IR_8266,0.950,4,30.800,45,32,FLIR E40bx
18,IR_8268,0.950,4,30.800,45,32,FLIR E40bx
19,IR_8270,0.950,4,30.800,45,32,FLIR E40bx
20,IR_8272,0.950,4,30.800,45,32,FLIR E40bx
21,IR_8274,0.950,4,30.800,45,32,FLIR E40bx
22,IR_8276,0.950,4,30.800,45,32,FLIR E40bx
23,IR_8278,0.950,4,30.800,45,32,FLIR E40bx
24,IR_8280,0.950,4,30.800,45,32,FLIR E40bx
25,IR_8282,0.950,4,30.800,45,32,FLIR E40bx
26,IR_8284,0.950,4,30.800,45,32,FLIR E40bx
27,IR_8286,0.950,4,30.800,45,32,FLIR E40bx
28,IR_8288,0.950,4,30.800,45,32,FLIR E40bx
29,IR_8290,0.950,4,30.800,45,32,FLIR E40bx
30,IR_8292,0.950,4,30.800,45,32,FLIR E40bx
31,IR_8294,0.950,4,30.800,45,32,FLIR E40bx
32,IR_8296,0.950,4,30.800,45,32,FLIR E40bx
33,IR_8298,0.950,4,30.800,45,32,FLIR E40bx
34,IR_8300,0.950,4,30.800,45,32,FLIR E40bx
35,IR_8302,0.950,4,30.800,45,32,FLIR E40bx
36,IR_8304,0.950,4,30.800,45,32,FLIR E40bx
37,IR_8306,0.950,4,30.800,45,32,FLIR E40bx
38,IR_8308,0.950,4,30.800,45,32,FLIR E40bx
39,IR_8310,0.950,4,30.800,45,32,FLIR E40bx
40,IR_8312,0.950,4,30.800,45,32,FLIR E40bx
