 ,Mask_image,Object,Image,Date,Time,Obj_area,Obj_mean_temp,Obj_min_temp,Obj_max_temp,Obj_st_dev_temp
1,leaves,1,IR_8234,2019-12-09,16:13:39,680,40.393,38.370,43.597,0.808
2,leaves,1,IR_8236,2019-12-09,16:19:10,680,40.839,38.417,43.872,0.797
3,leaves,1,IR_8238,2019-12-09,16:24:40,680,40.446,38.142,43.925,0.904
4,leaves,1,IR_8240,2019-12-09,16:30:11,680,39.705,37.028,42.731,1.031
5,leaves,1,IR_8242,2019-12-09,16:35:41,680,40.615,37.605,43.854,0.922
6,leaves,1,IR_8244,2019-12-09,16:41:11,680,39.310,36.652,42.453,0.909
7,leaves,1,IR_8246,2019-12-09,16:46:42,680,38.416,35.972,41.392,0.862
8,leaves,1,IR_8248,2019-12-09,16:52:12,680,39.454,36.634,43.318,0.997
9,leaves,1,IR_8250,2019-12-09,16:57:43,680,39.738,36.949,42.977,0.922
10,leaves,1,IR_8252,2019-12-09,17:03:13,680,39.036,36.393,42.247,0.962
11,leaves,1,IR_8254,2019-12-09,17:08:43,680,39.995,37.400,43.588,0.853
12,leaves,1,IR_8256,2019-12-09,17:14:14,680,40.209,37.673,42.634,0.818
13,leaves,1,IR_8258,2019-12-09,17:19:44,680,39.975,37.307,42.761,0.865
14,leaves,1,IR_8260,2019-12-09,17:25:15,680,39.154,36.715,42.163,0.841
15,leaves,1,IR_8262,2019-12-09,17:30:45,680,40.111,37.942,42.456,0.739
16,leaves,1,IR_8264,2019-12-09,17:36:15,680,38.901,36.912,41.211,0.724
17,leaves,1,IR_8266,2019-12-09,17:41:46,680,39.338,37.188,41.977,0.826
18,leaves,1,IR_8268,2019-12-09,17:47:16,680,38.546,36.640,41.537,0.698
19,leaves,1,IR_8270,2019-12-09,17:52:47,680,38.319,36.275,41.563,0.730
20,leaves,1,IR_8272,2019-12-09,17:58:17,680,37.816,35.757,41.312,0.738
21,leaves,1,IR_8274,2019-12-09,18:03:48,680,37.410,35.438,39.574,0.724
22,leaves,1,IR_8276,2019-12-09,18:09:18,680,37.373,35.665,39.598,0.722
23,leaves,1,IR_8278,2019-12-09,18:14:48,680,37.407,35.562,39.973,0.822
24,leaves,1,IR_8280,2019-12-09,18:20:19,680,36.540,34.890,39.204,0.662
25,leaves,1,IR_8282,2019-12-09,18:25:49,680,36.521,34.894,39.287,0.754
26,leaves,1,IR_8284,2019-12-09,18:31:20,680,35.578,33.995,37.959,0.696
