 ,Image,Obj_emissivity,Obj_distance,Air_temp,Air_rel_hum,App_refl_temp,Camera_model
1,IR_8234,0.950,4,40.900,0.270,42.029,FLIR E40bx
2,IR_8236,0.950,4,41.000,0.270,42.367,FLIR E40bx
3,IR_8238,0.950,4,41.100,0.270,41.776,FLIR E40bx
4,IR_8240,0.950,4,41.000,0.270,41.266,FLIR E40bx
5,IR_8242,0.950,4,40.300,0.280,41.632,FLIR E40bx
6,IR_8244,0.950,4,40.000,0.290,40.894,FLIR E40bx
7,IR_8246,0.950,4,39.700,0.290,40.554,FLIR E40bx
8,IR_8248,0.950,4,39.600,0.300,40.890,FLIR E40bx
9,IR_8250,0.950,4,39.800,0.300,40.886,FLIR E40bx
10,IR_8252,0.950,4,39.600,0.300,40.060,FLIR E40bx
11,IR_8254,0.950,4,39.600,0.300,40.469,FLIR E40bx
12,IR_8256,0.950,4,40.100,0.300,40.479,FLIR E40bx
13,IR_8258,0.950,4,40.800,0.290,40.429,FLIR E40bx
14,IR_8260,0.950,4,41.000,0.280,39.736,FLIR E40bx
15,IR_8262,0.950,4,41.400,0.280,40.211,FLIR E40bx
16,IR_8264,0.950,4,41.500,0.290,39.583,FLIR E40bx
17,IR_8266,0.950,4,41.400,0.290,39.864,FLIR E40bx
18,IR_8268,0.950,4,41.000,0.290,39.362,FLIR E40bx
19,IR_8270,0.950,4,40.500,0.300,39.065,FLIR E40bx
20,IR_8272,0.950,4,40.500,0.300,38.599,FLIR E40bx
21,IR_8274,0.950,4,40.200,0.300,38.387,FLIR E40bx
22,IR_8276,0.950,4,39.900,0.310,38.384,FLIR E40bx
23,IR_8278,0.950,4,39.700,0.310,38.267,FLIR E40bx
24,IR_8280,0.950,4,39.500,0.310,37.733,FLIR E40bx
25,IR_8282,0.950,4,39.300,0.320,37.765,FLIR E40bx
26,IR_8284,0.950,4,38.900,0.320,36.959,FLIR E40bx
27,IR_8286,0.950,4,38.500,0.330,37.172,FLIR E40bx
28,IR_8288,0.950,4,38.000,0.340,36.992,FLIR E40bx
29,IR_8290,0.950,4,37.600,0.350,36.658,FLIR E40bx
30,IR_8292,0.950,4,37.200,0.350,36.263,FLIR E40bx
31,IR_8294,0.950,4,36.500,0.360,35.718,FLIR E40bx
32,IR_8296,0.950,4,36.400,0.360,35.705,FLIR E40bx
33,IR_8298,0.950,4,36.200,0.370,35.874,FLIR E40bx
34,IR_8300,0.950,4,35.800,0.380,35.744,FLIR E40bx
35,IR_8302,0.950,4,35.500,0.380,35.197,FLIR E40bx
36,IR_8304,0.950,4,35.200,0.390,34.975,FLIR E40bx
37,IR_8306,0.950,4,34.900,0.390,34.616,FLIR E40bx
38,IR_8308,0.950,4,34.500,0.390,34.067,FLIR E40bx
39,IR_8310,0.950,4,34.000,0.400,33.887,FLIR E40bx
40,IR_8312,0.950,4,33.500,0.410,33.119,FLIR E40bx
41,IR_8314,0.950,4,33.100,0.440,32.849,FLIR E40bx
42,IR_8316,0.950,4,32.400,0.480,32.398,FLIR E40bx
43,IR_8318,0.950,4,31.700,0.510,32.300,FLIR E40bx
44,IR_8320,0.950,4,30.800,0.520,31.871,FLIR E40bx
45,IR_8322,0.950,4,30.500,0.540,31.568,FLIR E40bx
46,IR_8324,0.950,4,30.300,0.540,31.444,FLIR E40bx
47,IR_8326,0.950,4,29.700,0.550,30.734,FLIR E40bx
48,IR_8328,0.950,4,29.300,0.570,30.387,FLIR E40bx
49,IR_8330,0.950,4,28.900,0.580,30.054,FLIR E40bx
50,IR_8332,0.950,4,28.500,0.590,29.946,FLIR E40bx
51,IR_8334,0.950,4,28.000,0.600,29.551,FLIR E40bx
52,IR_8336,0.950,4,27.700,0.610,29.297,FLIR E40bx
53,IR_8338,0.950,4,27.600,0.610,29.046,FLIR E40bx
54,IR_8340,0.950,4,27.300,0.620,28.861,FLIR E40bx
55,IR_8342,0.950,4,27.200,0.620,28.699,FLIR E40bx
56,IR_8344,0.950,4,27.000,0.630,28.305,FLIR E40bx
57,IR_8346,0.950,4,26.800,0.630,28.170,FLIR E40bx
58,IR_8348,0.950,4,26.600,0.640,28.169,FLIR E40bx
59,IR_8350,0.950,4,26.500,0.640,28.022,FLIR E40bx
