Image,Obj_emissivity,Obj_distance,Air_temp,Air_rel_hum,App_refl_temp,Camera_model
IR_8234,0.95,4,40.9,0.27,42.028999999999996,FLIR E40bx
IR_8236,0.95,4,41.0,0.27,42.367,FLIR E40bx
IR_8238,0.95,4,41.1,0.27,41.776,FLIR E40bx
IR_8240,0.95,4,41.0,0.27,41.266000000000005,FLIR E40bx
IR_8242,0.95,4,40.3,0.28,41.632,FLIR E40bx
IR_8244,0.95,4,40.0,0.29,40.894,FLIR E40bx
IR_8246,0.95,4,39.7,0.29,40.554,FLIR E40bx
IR_8248,0.95,4,39.6,0.3,40.89,FLIR E40bx
IR_8250,0.95,4,39.8,0.3,40.885999999999996,FLIR E40bx
IR_8252,0.95,4,39.6,0.3,40.06,FLIR E40bx
IR_8254,0.95,4,39.6,0.3,40.469,FLIR E40bx
IR_8256,0.95,4,40.1,0.3,40.479,FLIR E40bx
IR_8258,0.95,4,40.8,0.29,40.429,FLIR E40bx
IR_8260,0.95,4,41.0,0.28,39.736,FLIR E40bx
IR_8262,0.95,4,41.4,0.28,40.211,FLIR E40bx
IR_8264,0.95,4,41.5,0.29,39.583,FLIR E40bx
IR_8266,0.95,4,41.4,0.29,39.864000000000004,FLIR E40bx
IR_8268,0.95,4,41.0,0.29,39.361999999999995,FLIR E40bx
IR_8270,0.95,4,40.5,0.3,39.065,FLIR E40bx
IR_8272,0.95,4,40.5,0.3,38.599000000000004,FLIR E40bx
IR_8274,0.95,4,40.2,0.3,38.387,FLIR E40bx
IR_8276,0.95,4,39.9,0.31,38.384,FLIR E40bx
IR_8278,0.95,4,39.7,0.31,38.266999999999996,FLIR E40bx
IR_8280,0.95,4,39.5,0.31,37.733000000000004,FLIR E40bx
IR_8282,0.95,4,39.3,0.32,37.765,FLIR E40bx
IR_8284,0.95,4,38.9,0.32,36.959,FLIR E40bx
IR_8286,0.95,4,38.5,0.33,37.172,FLIR E40bx
IR_8288,0.95,4,38.0,0.34,36.992,FLIR E40bx
IR_8290,0.95,4,37.6,0.35,36.658,FLIR E40bx
IR_8292,0.95,4,37.2,0.35,36.263000000000005,FLIR E40bx
IR_8294,0.95,4,36.5,0.36,35.718,FLIR E40bx
IR_8296,0.95,4,36.4,0.36,35.705,FLIR E40bx
IR_8298,0.95,4,36.2,0.37,35.874,FLIR E40bx
IR_8300,0.95,4,35.8,0.38,35.744,FLIR E40bx
IR_8302,0.95,4,35.5,0.38,35.196999999999996,FLIR E40bx
IR_8304,0.95,4,35.2,0.39,34.975,FLIR E40bx
IR_8306,0.95,4,34.9,0.39,34.616,FLIR E40bx
IR_8308,0.95,4,34.5,0.39,34.067,FLIR E40bx
IR_8310,0.95,4,34.0,0.4,33.887,FLIR E40bx
IR_8312,0.95,4,33.5,0.41,33.119,FLIR E40bx
IR_8314,0.95,4,33.1,0.44,32.849000000000004,FLIR E40bx
IR_8316,0.95,4,32.4,0.48,32.398,FLIR E40bx
IR_8318,0.95,4,31.7,0.51,32.3,FLIR E40bx
IR_8320,0.95,4,30.8,0.52,31.871,FLIR E40bx
IR_8322,0.95,4,30.5,0.54,31.568,FLIR E40bx
IR_8324,0.95,4,30.3,0.54,31.444000000000003,FLIR E40bx
IR_8326,0.95,4,29.7,0.55,30.734,FLIR E40bx
IR_8328,0.95,4,29.3,0.57,30.386999999999997,FLIR E40bx
IR_8330,0.95,4,28.9,0.58,30.054000000000002,FLIR E40bx
IR_8332,0.95,4,28.5,0.59,29.945999999999998,FLIR E40bx
IR_8334,0.95,4,28.0,0.6,29.551,FLIR E40bx
IR_8336,0.95,4,27.7,0.61,29.296999999999997,FLIR E40bx
IR_8338,0.95,4,27.6,0.61,29.046,FLIR E40bx
IR_8340,0.95,4,27.3,0.62,28.861,FLIR E40bx
IR_8342,0.95,4,27.2,0.62,28.699,FLIR E40bx
IR_8344,0.95,4,27.0,0.63,28.305,FLIR E40bx
IR_8346,0.95,4,26.8,0.63,28.17,FLIR E40bx
IR_8348,0.95,4,26.6,0.64,28.169,FLIR E40bx
IR_8350,0.95,4,26.5,0.64,28.022,FLIR E40bx
IR_8352,0.95,4,26.3,0.64,27.811999999999998,FLIR E40bx
IR_8354,0.95,4,26.2,0.65,27.495,FLIR E40bx
IR_8356,0.95,4,26.1,0.65,27.552,FLIR E40bx
IR_8358,0.95,4,26.1,0.65,27.372,FLIR E40bx
IR_8360,0.95,4,26.0,0.65,27.261999999999997,FLIR E40bx
IR_8362,0.95,4,26.0,0.65,27.136,FLIR E40bx
IR_8364,0.95,4,25.9,0.66,26.976,FLIR E40bx
IR_8366,0.95,4,25.9,0.66,26.861,FLIR E40bx
IR_8368,0.95,4,25.8,0.66,26.804000000000002,FLIR E40bx
IR_8370,0.95,4,25.7,0.66,26.768,FLIR E40bx
IR_8372,0.95,4,25.6,0.66,26.824,FLIR E40bx
IR_8374,0.95,4,25.7,0.65,26.482,FLIR E40bx
IR_8376,0.95,4,25.6,0.66,26.555,FLIR E40bx
IR_8378,0.95,4,25.6,0.66,26.423000000000002,FLIR E40bx
IR_8380,0.95,4,25.5,0.66,26.26,FLIR E40bx
IR_8382,0.95,4,25.5,0.66,26.051,FLIR E40bx
IR_8386,0.95,4,25.2,0.66,25.635,FLIR E40bx
IR_8388,0.95,4,25.0,0.66,25.736,FLIR E40bx
IR_8390,0.95,4,24.9,0.66,25.651999999999997,FLIR E40bx
IR_8392,0.95,4,24.8,0.67,25.383000000000003,FLIR E40bx
IR_8394,0.95,4,24.7,0.66,24.989,FLIR E40bx
IR_8396,0.95,4,24.5,0.67,25.085,FLIR E40bx
IR_8398,0.95,4,24.4,0.67,24.988000000000003,FLIR E40bx
IR_8402,0.95,4,24.1,0.69,24.909000000000002,FLIR E40bx
IR_8404,0.95,4,24.0,0.68,24.589000000000002,FLIR E40bx
IR_8406,0.95,4,23.9,0.68,24.554000000000002,FLIR E40bx
IR_8408,0.95,4,23.8,0.68,24.433000000000003,FLIR E40bx
IR_8410,0.95,4,23.6,0.68,24.506,FLIR E40bx
IR_8412,0.95,4,23.5,0.69,24.234,FLIR E40bx
IR_8414,0.95,4,23.4,0.69,24.186,FLIR E40bx
IR_8416,0.95,4,23.3,0.7,24.114,FLIR E40bx
IR_8418,0.95,4,23.2,0.69,23.930999999999997,FLIR E40bx
IR_8420,0.95,4,23.1,0.7,23.914,FLIR E40bx
IR_8422,0.95,4,23.0,0.7,23.864,FLIR E40bx
IR_8424,0.95,4,22.9,0.71,24.028000000000002,FLIR E40bx
IR_8426,0.95,4,22.8,0.7,23.704,FLIR E40bx
IR_8428,0.95,4,22.8,0.69,23.559,FLIR E40bx
IR_8434,0.95,4,22.5,0.7,23.239,FLIR E40bx
IR_8436,0.95,4,22.4,0.7,23.214000000000002,FLIR E40bx
IR_8438,0.95,4,22.4,0.7,22.894000000000002,FLIR E40bx
IR_8440,0.95,4,22.3,0.7,22.951999999999998,FLIR E40bx
IR_8442,0.95,4,22.2,0.7,22.999000000000002,FLIR E40bx
IR_8444,0.95,4,22.1,0.7,22.763,FLIR E40bx
IR_8446,0.95,4,22.0,0.7,22.627,FLIR E40bx
IR_8448,0.95,4,21.7,0.7,22.525,FLIR E40bx
IR_8450,0.95,4,21.4,0.7,22.198,FLIR E40bx
IR_8452,0.95,4,21.2,0.72,22.301,FLIR E40bx
IR_8454,0.95,4,21.0,0.72,21.999000000000002,FLIR E40bx
IR_8456,0.95,4,20.9,0.73,21.988000000000003,FLIR E40bx
IR_8458,0.95,4,20.8,0.74,22.125,FLIR E40bx
IR_8460,0.95,4,20.8,0.73,21.839000000000002,FLIR E40bx
IR_8462,0.95,4,20.7,0.72,21.879,FLIR E40bx
IR_8464,0.95,4,20.7,0.73,21.869,FLIR E40bx
IR_8466,0.95,4,20.7,0.72,21.695999999999998,FLIR E40bx
IR_8468,0.95,4,20.7,0.73,21.997,FLIR E40bx
IR_8472,0.95,4,20.7,0.76,21.944000000000003,FLIR E40bx
IR_8474,0.95,4,20.7,0.76,21.948,FLIR E40bx
IR_8476,0.95,4,20.8,0.76,21.916,FLIR E40bx
IR_8478,0.95,4,20.8,0.76,21.721,FLIR E40bx
IR_8480,0.95,4,20.8,0.76,21.543000000000003,FLIR E40bx
IR_8482,0.95,4,20.7,0.76,21.785999999999998,FLIR E40bx
IR_8484,0.95,4,20.7,0.76,21.717,FLIR E40bx
IR_8486,0.95,4,20.7,0.78,21.831,FLIR E40bx
IR_8488,0.95,4,20.6,0.77,21.631,FLIR E40bx
IR_8490,0.95,4,20.6,0.77,21.729,FLIR E40bx
IR_8492,0.95,4,20.5,0.76,21.539,FLIR E40bx
IR_8494,0.95,4,20.5,0.74,21.511,FLIR E40bx
IR_8496,0.95,4,20.4,0.71,21.316999999999997,FLIR E40bx
IR_8500,0.95,4,20.3,0.7,21.515,FLIR E40bx
IR_8502,0.95,4,20.3,0.69,21.357,FLIR E40bx
IR_8504,0.95,4,20.3,0.69,21.421999999999997,FLIR E40bx
IR_8506,0.95,4,20.3,0.68,21.498,FLIR E40bx
IR_8508,0.95,4,20.3,0.68,21.171,FLIR E40bx
IR_8510,0.95,4,20.3,0.67,21.081999999999997,FLIR E40bx
IR_8512,0.95,4,20.3,0.66,21.268,FLIR E40bx
IR_8514,0.95,4,20.3,0.65,21.235,FLIR E40bx
IR_8516,0.95,4,20.3,0.65,21.373,FLIR E40bx
IR_8518,0.95,4,20.3,0.64,21.339000000000002,FLIR E40bx
IR_8520,0.95,4,20.3,0.63,21.471999999999998,FLIR E40bx
IR_8522,0.95,4,20.3,0.62,21.17,FLIR E40bx
IR_8524,0.95,4,20.3,0.62,21.107,FLIR E40bx
IR_8526,0.95,4,20.4,0.61,21.41,FLIR E40bx
IR_8530,0.95,4,20.4,0.61,21.314,FLIR E40bx
IR_8532,0.95,4,20.4,0.6,21.375,FLIR E40bx
IR_8536,0.95,4,20.5,0.59,21.478,FLIR E40bx
IR_8538,0.95,4,20.5,0.6,21.805999999999997,FLIR E40bx
IR_8540,0.95,4,20.6,0.6,21.834,FLIR E40bx
IR_8542,0.95,4,20.6,0.6,22.011,FLIR E40bx
IR_8544,0.95,4,20.8,0.6,22.322,FLIR E40bx
IR_8546,0.95,4,20.9,0.6,22.801,FLIR E40bx
IR_8548,0.95,4,21.2,0.61,23.177,FLIR E40bx
IR_8550,0.95,4,21.5,0.61,23.636,FLIR E40bx
